	thioredoxin reductase (NADPH)	ribonucleoside-diphosphate reductase (CDP)	ribonucleoside-diphosphate reductase (UDP)	uracil phosphoribosyltransferase	yUMP synthetase	thymidylate synthase	aspartate carbamoyltransferase	Cytosine deaminase	orotidine-5'-phosphate decarboxylase	dTMP kinase	(S)-Dihydroorotateoxygen oxidoreductase	dihydoorotic acid dehydrogenase (quinone8)	dihydoorotic acid dehydrogenase (quinone9)	dihydroorotic acid (menaquinone-8)	cytidylate kinase (CMP)	cytidylate kinase (dCMP)	dCTP deaminase	dihydroorotase	5'-nucleotidase (CMP)	5'-nucleotidase (dCMP)	5'-nucleotidase (dTMP)	5'-nucleotidase (UMP)	CTP synthase (glutamine)	UTPammonia ligase(ADP-forming)	UMP kinase	uridylate kinase (dUMP)	nucleoside-diphosphate kinase (ATP:CDP)	nucleoside-diphosphate kinase (ATP:dCDP)	nucleoside-diphosphate kinase (ATP:dTDP)	nucleoside-diphosphate kinase (ATP:dUDP)	nucleoside-diphosphate kinase (ATP:UDP)	thymidine-triphosphatase irreversible	dUTP diphosphatase	orotate phosphoribosyltransferase
0	0.0	1.0	-1.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	1.0	0.0	-0.0	0.0	-0.0	0.0	0.0	1.0	-0.0	0.0	-1.0	1.0	-1.0	-1.0	1.0	-1.0	0.0	0.0
